comment_id,video_id,username,comment_text,digg_count,create_time,clean_text
7542348055010935559,7538488835701804306,.,s k ph nước hoa minh béo😭,0,1756089760,s k ph nước hoa minh béo
7547271201560855312,7538488835701804306,ÔNG KẸ🥏🖤⬛⚫,1k v,0,1757236021,1k v
7545134232647205633,7538488835701804306,hung,9ke,0,1756738471,9ke
7541404571206173447,7538488835701804306,phuongbetua,tiền ship muốn bệnh luôn,0,1755870085,tiền ship muốn bệnh luôn
7541407158908486416,7538488835701804306,Ⓗⓞàⓝⓖ‿ ⓓⓘễⓝ,59k🙂🙂🙂,0,1755870692,59k
7542732691297403666,7538488835701804306,baovip🧸,9k ship 30,0,1756179312,9k ship 30
7542554203602076423,7538488835701804306,༒︎Ҩ.ℳ¡ทɦℒℯ˚₊· ͟͟͞͞➳❥,Ah e t free ship 9k thật hả giảm 93%,0,1756137760,ah e t free ship 9k thật hả giảm 93%
7541660058527630087,7538488835701804306,Huy nhỏ 👶🏻,Sao cs 1k,0,1755929573,sao cs 1k
7542395631276884754,7538488835701804306,Nam Nguyễn 🤕,9k:)))),0,1756100839,9k:))))
7541395647095833351,7538488835701804306,L,t tưởng bán cái set đồ ăn🥰,0,1755868011,t tưởng bán cái set đồ ăn
7541443290580009735,7538488835701804306,cặc,9k =),0,1755879101,9k =)
7541760075016274706,7538488835701804306,Đ.bao,t 9k😂,0,1755952861,t 9k
7539485193482240776,7538488835701804306,VTP,9k:),0,1755423197,9k:)
7541387791100298002,7538488835701804306,🐻,😂 t 1k 😂,0,1755866178,t 1k
7541398924351931144,7538488835701804306,LUÂN MÊ ANIME 🤓,tao sài nước hoa minh béo💀,0,1755868770,tao sài nước hoa minh béo
7541409879283106568,7538488835701804306,Trung hòa ✅️,t 9.300,0,1755871322,t 9.300
7540202623405966096,7538488835701804306,gà đá bm,ấn chơi đc 9k nek,0,1755590244,ấn chơi đc 9k nek
7540528162749842183,7538488835701804306,𝘿𝙉𝙆💤,12k free ship mà k thích mua,0,1755666032,12k free ship mà k thích mua
7539175186395464455,7538488835701804306,Ng Nhất Huy,có bán nC hoa itachim ko,0,1755351016,có bán nc hoa itachim ko
7543640146525930261,7538488835701804306,Chiếc lược ngà🌿,team 150k🥰,0,1756390598,team 150k
7542037014998565640,7538488835701804306,Ngọc Lê,tui 0đ,0,1756017345,tui 0đ
7540928386919809810,7538488835701804306,adu e Dat,có 1k,0,1755759217,có 1k
7539309794576057096,7538488835701804306,HDuy🚬,9k :)),0,1755382379,9k :))
7545344423007814418,7538488835701804306,...,miễn ship,0,1756787406,miễn ship
7541685467302265618,7538488835701804306,KhĐăng♠,ấn chs 1k,0,1755935488,ấn chs 1k
7545144358376407815,7538488835701804306,yi sang vn,1đ secret lun💀,0,1756740823,1đ secret lun
7541979647668437768,7538488835701804306,Hanzo,200k lun,0,1756003980,200k lun
7541389841146282759,7538488835701804306,Thanh Thương,9.300đ 😁,0,1755866657,9.300đ
7544346607329182471,7538488835701804306,Cheese🧀,đã mua ủng hộ shop 10 cái,0,1756555084,đã mua ủng hộ shop 10 cái
7542109259669521170,7538488835701804306,Chung Tín là bố!,23k free ship có nên mua hay ko?,0,1756034160,23k free ship có nên mua hay ko?
7546607684003513106,7538488835701804306,...NTHAHA^^,vãi cả 9k,0,1757081530,vãi cả 9k
7541338520910021384,7538488835701804306,¹²..,9k -),0,1755854708,9k -)
7542273003493917447,7538488835701804306,(A+B)²=A²+2AB+B²⚡,9k=),0,1756072295,9k=)
7548339787494998791,7538488835701804306,Huy cù,Có 9đ,0,1757484826,có 9đ
7543991155714114312,7538488835701804306,Kà ri✿,chủ tus hog bt cầm đũa s hả( chỉ hỏi hoi),0,1756472323,chủ tus hog bt cầm đũa s hả( chỉ hỏi hoi)
7542370520530371345,7538488835701804306,mister cat😶‍🌫️,9k bao ship,0,1756094998,9k bao ship
7542534531091677970,7538488835701804306,Nhatlam🥀,1đ :),0,1756133179,1đ :)
7539986055727219474,7538488835701804306,qquy176,12k :)),0,1755539814,12k :))
7546136268246287105,7538488835701804306,iuu Hot Wheels💞,😂hâha😂,0,1756971810,hâha
7546980192513524487,7538488835701804306,DRT đức,tôi 1đ luôn,0,1757168264,tôi 1đ luôn
7541595657678766855,7538488835701804306,NGÂN 4 TỦI😆😆😆,9k freeship,0,1755914582,9k freeship
7545185318895600391,7538488835701804306,Thị Hương Trần,1k free shop😳,0,1756750361,1k free shop
7539856760242406152,7538488835701804306,Đạt,sao có 5 k thí,0,1755509712,sao có 5 k thí
7541607743876317960,7538488835701804306,LD tiến,ấn mua 1₫,0,1755917398,ấn mua 1
7541659082211328776,7538488835701804306,mậm đàn bà,9k free ship^^,0,1755929345,9k free ship^^
7541671843226206984,7538488835701804306,Ferich,9k=)),0,1755932318,9k=))
7545349321630548743,7538488835701804306,Fitbest,1đ free ship 💀💀,0,1756788549,1đ free ship
7541678883071640338,7538488835701804306,qahhh🐸🫰🏻,"ấn chơi 9.000 , ấn mua 9.000🤪",0,1755933956,"ấn chơi 9.000 , ấn mua 9.000"
7543966347543511826,7538488835701804306,Mijnz 🍄,làm t tưởng đồ ăn :(,0,1756466549,làm t tưởng đồ ăn :(
7545381219522560786,7538488835701804306,chó đẹp zai✅,trang,0,1756795973,trang
7564434467504816903,7538488835701804306,hiền,ê tui có 9k à,0,1761232153,ê tui có 9k à
7540954559267603217,7538488835701804306,️,ấn chs đc 1k,0,1755765310,ấn chs đc 1k
7542040058184254264,7538488835701804306,Anh Tên Là Đạt,Ko ấn🤔,0,1756018073,ko ấn
7549065169637999381,7538488835701804306,Thang Huynh,9 000 mà,0,1757653712,9 000 mà
7544660491210294024,7538488835701804306,kuto_skibidi,t có 1 đồng à:),0,1756628165,t có 1 đồng à:)
