comment_id,video_id,username,comment_text,digg_count,create_time,clean_text,video_context,llm_hate_speech,llm_confidence,llm_justification,batch_size_tested
7040590309243781889,7040406003837373698,lhuong,Kao xem hơn chục lần rồi chx thoát ra đc,31,1639265198,kao xem hơn chục lần rồi chx thoát ra đc,🥀#fyp #foryou #GocLamDep,NOT_HATE_SPEECH,1.0,Bình luận thể hiện sự yêu thích và khen ngợi nội dung video.,256.0
7040453319013909250,7040406003837373698,Trần Hạ Vy 🐱,Uiii xinh thế nhỉ🥰,42,1639233287,uiii xinh thế nhỉ,🥀#fyp #foryou #GocLamDep,NOT_HATE_SPEECH,1.0,Khen ngợi vẻ đẹp của người trong video.,256.0
7040411435633705730,7040406003837373698,Phuong Anh,Ra vd búi tóc ddi c iuuu🥺,5,1639223536,ra vd búi tóc ddi c iuuu,🥀#fyp #foryou #GocLamDep,NOT_HATE_SPEECH,1.0,Yêu cầu làm video hướng dẫn búi tóc và bày tỏ sự yêu mến.,256.0
7041388945695228674,7040406003837373698,Triều Trẻ Trâu 👶🐃,vợ em :33,3,1639451136,vợ em :33,🥀#fyp #foryou #GocLamDep,NOT_HATE_SPEECH,0.9,"Bình luận thể hiện sự yêu thích và gọi người trong video là ""vợ em"", một cách nói phổ biến để bày tỏ sự ngưỡng mộ.",256.0
7040442233606832898,7040406003837373698,⚡️𝕿𝕮⚡️,Idol,8,1639230707,idol,🥀#fyp #foryou #GocLamDep,NOT_HATE_SPEECH,1.0,Thể hiện sự ngưỡng mộ đối với người trong video.,256.0
7040483671723262721,7040406003837373698,Ngủ muộn tao mách mẹ,xinh nhất toptop gòyy😅,37,1639240352,xinh nhất toptop gòyy,🥀#fyp #foryou #GocLamDep,NOT_HATE_SPEECH,1.0,"Khen ngợi vẻ đẹp của người trong video là ""xinh nhất toptop"".",256.0
7040609771560649473,7040406003837373698,Phởnnnnn,Sao đoạn đầu mờ z🥺,11,1639269722,sao đoạn đầu mờ z,🥀#fyp #foryou #GocLamDep,NOT_HATE_SPEECH,1.0,"Bình luận về chất lượng video, không có yếu tố xúc phạm.",256.0
7040479615873975041,7040406003837373698,huyenhon37,chị bớt xinh lạo đê😳😘,27,1639239412,chị bớt xinh lạo đê,🥀#fyp #foryou #GocLamDep,NOT_HATE_SPEECH,1.0,Khen ngợi vẻ đẹp một cách hài hước.,256.0
7040589434714784514,7040406003837373698,user50430604319,chị nghĩ mình đẹp à! chị nghĩ đúng rồi đó💓,8,1639264997,chị nghĩ mình đẹp à! chị nghĩ đúng rồi đó,🥀#fyp #foryou #GocLamDep,NOT_HATE_SPEECH,1.0,Khen ngợi vẻ đẹp một cách khẳng định và hài hước.,256.0
7041939375168766722,7040406003837373698,GTAV- Mixicity 🇻🇳,"giờ mới biết khuôn trăng đầy đặn - nét "" nàng "" nở nang là như thề nào 😂😂😂",8,1639579285,"giờ mới biết khuôn trăng đầy đặn - nét "" nàng "" nở nang là như thề nào",🥀#fyp #foryou #GocLamDep,NOT_HATE_SPEECH,1.0,Khen ngợi vẻ đẹp bằng những câu từ thơ mộng.,256.0
