comment_id,video_id,username,comment_text,digg_count,create_time,clean_text,video_context,llm_hate_speech,llm_confidence,llm_justification,batch_size_tested
7454972537929646856,6989137370817842459,Uyenn,2025 mới coi đc,1,1735746062,2025 mới coi đc,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.9,Bình luận không chứa nội dung xúc phạm hay công kích.,32.0
7469435440655909652,6989137370817842459,Mê N và 🏐,2025 vẫn xem típ😩😩,1,1739113474,2025 vẫn xem típ,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.9,Bình luận không chứa nội dung xúc phạm hay công kích.,32.0
7507634384091284242,6989137370817842459,Chư nè,T giật mình kkk Long chun kk😁,3,1748007351,t giật mình kkk long chun kk,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.9,"Bình luận bày tỏ phản ứng cá nhân với nội dung video, không xúc phạm.",32.0
7464928604187525905,6989137370817842459,Nỗi nhớ vô hạn 💕,Cô trinh nay gọi vốn😂,1,1738064148,cô trinh nay gọi vốn,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.7,"Bình luận có thể là một câu nói đùa hoặc liên quan đến bối cảnh cụ thể của ""cô Trinh"" trong video, không mang tính xúc phạm.",32.0
7462399982185874184,6989137370817842459,ko sao cả,2025 conf ai xem dc k,2,1737475410,2025 conf ai xem dc k,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.9,"Bình luận đặt câu hỏi về việc xem lại video trong tương lai, không mang tính xúc phạm.",32.0
7533858770641519368,6989137370817842459,Ng G Huy ¿,tiểu hý shoppe😍,1,1754113195,tiểu hý shoppe,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.7,"Bình luận có thể là một tham chiếu đến nhân vật hoặc một câu đùa nội bộ, không có dấu hiệu xúc phạm.",32.0
7465282091115873032,6989137370817842459,Thien Thanh ARC,2025 liệu ai còn xem,1,1738146459,2025 liệu ai còn xem,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.9,"Bình luận đặt câu hỏi về việc xem lại video trong tương lai, không mang tính xúc phạm.",32.0
7463790680617829128,6989137370817842459,Nguyễn Thịnh,chắc ko còn ai xem nhỉ xem thì comment cho mik biết nhé,1,1737799216,chắc ko còn ai xem nhỉ xem thì comment cho mik biết nhé,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.9,"Bình luận tương tác, không chứa nội dung xúc phạm.",32.0
7458967853309608705,6989137370817842459,Thốy,Long chun đã xem lại và đánh giá chính mình,1,1736676301,long chun đã xem lại và đánh giá chính mình,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.9,"Bình luận nhắc đến Long Chun một cách hài hước liên quan đến video, không xúc phạm.",32.0
7498776417334035208,6989137370817842459,Mỹ Linh 😍😍😍,cười sảng với cô trinh 😆😆😆,1,1745944957,cười sảng với cô trinh,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.9,"Bình luận thể hiện sự vui vẻ, không có dấu hiệu xúc phạm.",32.0
7453719682391409415,6989137370817842459,thích chơi db legends,Tiểu Hý niệm a di đà,1,1735454363,tiểu hý niệm a di đà,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.7,"Bình luận có thể mang tính hài hước hoặc châm biếm nhẹ nhàng, không có ý định xúc phạm.",32.0
7481657929876292360,6989137370817842459,Sherry Lim,"giống từ củ chỉ đến ánh mắt, long chun đa tài thật sự, gặp ở sân bay singapore changi mấy lần luôn dễ thương",1,1741959243,"giống từ củ chỉ đến ánh mắt, long chun đa tài thật sự, gặp ở sân bay singapore changi mấy lần luôn dễ thương",Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,1.0,"Bình luận khen ngợi Long Chun, thể hiện sự ngưỡng mộ.",32.0
7452732182979019541,6989137370817842459,Fan Quanh Và Vanh,Tiểu Hý đã xem và đánh giá,1,1735224462,tiểu hý đã xem và đánh giá,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.7,"Bình luận nhắc đến ""Tiểu Hý"" có thể là một câu đùa nội bộ, không mang tính xúc phạm.",32.0
7488533905035002645,6989137370817842459,gia bảo art✍️,2019 có trần đức bo nay có long chun,1,1743560198,2019 có trần đức bo nay có long chun,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.6,"Bình luận so sánh hai nhân vật nổi tiếng, có thể mang ý hài hước hoặc nhận xét chung, không rõ ràng là xúc phạm.",32.0
7481544176309584648,6989137370817842459,Sâm Dứa,Sợ áaa trời ơi,0,1741932776,sợ áaa trời ơi,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.9,"Bình luận thể hiện cảm xúc giật mình hoặc sợ hãi hài hước, không mang tính xúc phạm.",32.0
7481542095254094600,6989137370817842459,Vũ Hiền Bảo,Xịn quáaaa 🌟,0,1741932274,xịn quáaaa,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,1.0,Bình luận khen ngợi nội dung video.,32.0
7479031380535001874,6989137370817842459,阮安进♍️,2025 r còn ai xem ko ạ😁,0,1741347706,2025 r còn ai xem ko ạ,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.9,"Bình luận đặt câu hỏi về việc xem lại video trong tương lai, không mang tính xúc phạm.",32.0
7481381642217816839,6989137370817842459,Đặng Minh Dung,Mờ ê mê thôi,0,1741894929,mờ ê mê thôi,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,0.9,Bình luận thể hiện sự yêu thích hoặc bị thu hút bởi nội dung.,32.0
7514169170784518919,6989137370817842459,Ngancon,Helo,0,1749528853,helo,Đu trend phiên bản mới cấn thai 🥲,NOT_HATE_SPEECH,1.0,Bình luận là một lời chào đơn giản.,32.0
