comment_id,video_id,username,comment_text,clean_text,digg_count,create_time,video_context,llm_hate_speech,llm_confidence,llm_justification
7559967795632947986,7559965714820402449,YẾN VY,"""dạ em 0 có tiền💔""","""dạ em 0 có tiền""",3,1760192178,,NOT_HATE_SPEECH,1.0,"The comment is a simple statement about not having money, expressing a personal financial situation."
7560720245947056903,7559965714820402449,Q. A🐍🐍🐍,mik chích r đau lắm 😭,mik chích r đau lắm,4,1760367365,,NOT_HATE_SPEECH,1.0,"The comment shares a personal experience about the injection being painful, which is not hate speech."
7559975562266608392,7559965714820402449,Misu 🧩NHT🧩,Đánh tâm lý lên giá khiếp 😳,đánh tâm lý lên giá khiếp,1,1760193983,,NOT_HATE_SPEECH,0.9,"The comment expresses an opinion on pricing tactics ('đánh tâm lý lên giá khiếp'), which is a critique of commercial strategy, not an insult or attack on individuals or groups."
7559997050889913108,7559965714820402449,Thu Ngọc,Thay vì tiêm thì 2 năm y đi tầm soát lần😁,thay vì tiêm thì 2 năm y đi tầm soát lần,1,1760198987,,NOT_HATE_SPEECH,1.0,"The comment offers alternative advice ('thay vì tiêm thì 2 năm y đi tầm soát lần'), which is not hate speech."
7561003760269771536,7559965714820402449,KLinh nè 💗💓💕🎀,Đắt quá nên tới giờ chx tiêm,đắt quá nên tới giờ chx tiêm,1,1760433386,,NOT_HATE_SPEECH,1.0,"The comment states a personal reason for not getting vaccinated ('đắt quá nên tới giờ chx tiêm'), which is not hate speech."
7559971055948808980,7559965714820402449,Khanh Mộng Mơ 🎀,Tiêm đi mn chứ trc mik dính hpv với nguy hiểm quá nguy cơ cao k à cũng may uống đúng loại thải ra mới âm tính dc hẳn,tiêm đi mn chứ trc mik dính hpv với nguy hiểm quá nguy cơ cao k à cũng may uống đúng loại thải ra mới âm tính dc hẳn,3,1760192935,,NOT_HATE_SPEECH,1.0,"The comment shares a personal experience and encourages others to get vaccinated, which is not hate speech."
7559974138065371912,7559965714820402449,⋆𐙚₊˚Ecuadorᶻ 𝗓 𐰁:⋆𐙚₊˚⊹,ý là từ 14t chở xuống là tiêm 2 mũi đk ạ (ý kiến riêng),ý là từ 14t chở xuống là tiêm 2 mũi đk ạ (ý kiến riêng),3,1760193651,,NOT_HATE_SPEECH,1.0,"The comment asks a question about vaccine dosage based on age, which is not hate speech."
7559966612837630727,7559965714820402449,Dm chó Bảo^~^,T vẫn chưa tiêm🥰,t vẫn chưa tiêm,4,1760191897,,NOT_HATE_SPEECH,1.0,The comment is a personal statement about not having received the vaccine yet.
7559978609953784594,7559965714820402449,𝓚𝓲𝓶 𝓣𝓻𝓪𝓷𝓰,em 17 tuổi cần tiêm bn mũi vậy ạ,em 17 tuổi cần tiêm bn mũi vậy ạ,3,1760194695,,NOT_HATE_SPEECH,1.0,"The comment asks for information about the number of vaccine doses needed, which is not hate speech."
7559968758690562836,7559965714820402449,Tiểu My Sói,con năm nay 8 tủi r..đợi hết năm nay.sang năm cũng sẽ đưa con đi tiêm.🥰🥰,con năm nay 8 tủi r..đợi hết năm nay.sang năm cũng sẽ đưa con đi tiêm.,3,1760192400,,NOT_HATE_SPEECH,1.0,"The comment expresses a parent's intention to vaccinate their child, which is not hate speech."
7559979625054094098,7559965714820402449,Nguyễn Kiều,t có con gái. nên t bỏ ống heo dần rồi. để tới đó chi tiền ko ngán. ko bị hụt tiền,t có con gái. nên t bỏ ống heo dần rồi. để tới đó chi tiền ko ngán. ko bị hụt tiền,1,1760194928,,NOT_HATE_SPEECH,1.0,"The comment shares a personal financial plan for her daughter's vaccination, which is not hate speech."
7559976030837506824,7559965714820402449,hv,đã tiêm đủ 2 mũi trước 14t,đã tiêm đủ 2 mũi trước 14t,1,1760194092,,NOT_HATE_SPEECH,1.0,"The comment states a personal fact about being vaccinated, which is not hate speech."
7559980294699418376,7559965714820402449,𝓥ũ 𝓑ù𝓲 💞💞,đã tiêm 3mũi gần 9tr,đã tiêm 3mũi gần 9tr,1,1760195082,,NOT_HATE_SPEECH,1.0,"The comment shares personal vaccination information and cost, which is not hate speech."
7559967386147865352,7559965714820402449,Nhím,mình tiêm rồi nè,mình tiêm rồi nè,4,1760192078,,NOT_HATE_SPEECH,1.0,"The comment states a personal fact about being vaccinated, which is not hate speech."
7559968926969365266,7559965714820402449,ᴄᴏɴ ɴɢᴜᴏɪ𐙚,T còn chưa tiêm nx,t còn chưa tiêm nx,3,1760192436,,NOT_HATE_SPEECH,1.0,The comment is a personal statement about not having received the vaccine yet.
